PID,SMILES,HOMO,LUMO,S1,T1,TADF-likeness
139602019,CCN(c1ccccc1C)c1c(C)ccc(OC)c1C,-4.9821324888045,0.013877806375500002,4.2746,3.364,59.37969207763672
29069855,O=C(c1ccc(Oc2ccccc2)cc1)N(CCCN1CCOCC1)c1nc2c(F)cccc2s1,-5.2820019520555,-1.6495541617310001,3.1047,2.972,58.63440704345703
100390736,CCCc1ccc(OCCNC(=O)c2ccccc2OCc2ccccc2)cc1,-5.79602501565,-0.7240949561805,4.5959,3.5263,59.91960525512695
45533333,Cc1cc2nc(N(Cc3ccccn3)C(=O)c3cc(C)n(C(C)C)n3)sc2cc1C,-5.509217017223,-1.0571623091925,4.0069,3.1086,55.04796600341797
84416210,CC(C)Oc1ccc(C(=O)Nc2ccc3nc(C(C)C)oc3c2)cc1,-5.6030962956455,-1.0109029546075001,4.1438,3.1483,59.66877746582031
159042331,Cc1cc(C)c(Oc2nc(-c3cccc(CN)c3)ccc2C(=O)CS(=O)(=O)c2cccc(N)n2)c(C)c1,-6.0929012265455,-2.074595996212,3.3992,2.6224,56.25953674316406
50780501,Cc1nc(-c2ccc(-n3cc(C(=O)Nc4cccc(F)c4)c(C)n3)cc2)no1,-6.0411995949505,-1.6386696077110001,4.0382,2.9575,56.59588623046875
341430,COC1C=CC(=O)C(C)(c2ccc(S(=O)(=O)c3ccccc3)cc2)O1,-6.769648372739,-2.0748681100625,3.3411,2.8546,57.99568939208984
126609792,CCCCCC/C(=N\OC(=O)c1ccccc1)C(=O)c1cn(C2=CC=C(C(=O)c3ccccc3)CC2)c2ccccc12,-5.610715483459501,-2.237320078811,2.9676,1.9293,56.85667419433594
112776824,Cc1ccccc1CSCC(=O)c1cn(CCC#N)c2ccccc12,-5.7892221693875,-1.2762139588449999,3.7205,2.9717,55.15856170654297
154835324,O=C1c2ccccc2S(=O)(=O)c2cc(C(=O)N3CCN(Cc4cccc5ccccc45)CC3)ccc21,-5.7712626552545006,-2.8438618515755003,2.6726,2.6716,58.02235794067383
136795247,Cc1c(C#N)c(-c2ccccc2)nc(/C=C(/O)c2ccccc2)c1C(=O)NCc1ccccc1,-5.805276886567,-1.866156786729,3.637,2.3328,56.68234252929688
115311331,c1ccc2c(c1)NCCCN2Cc1nc2ccccc2[nH]1,-4.5821251285695,-0.44817151177349995,3.5881,3.344,55.4073600769043
134495504,COc1cc2cc(C(CC/C=C(\C)CCC=C(C)C)=C(C)C)oc2cc1OC,-4.801721005923,-0.650352102695,3.947,2.3998,56.37005615234375
159684107,Cc1c(F)ccc(-c2nc3n(c2-c2ccc4c(c2)C=NC4)CCC3)c1F,-5.413432941847001,-1.196212486798,3.6518,2.9137,59.42376708984375
155722800,CNc1ccc(-c2c(-c3ccc(Oc4cccc(C(F)(F)F)c4)nc3)c3c(N)ncnc3n2C)cc1,-5.0528820899345,-0.9929434404745001,3.5666,2.8174,56.41656494140625
121007498,Cc1ccc(C)c(-c2cnccn2)c1,-6.2583464476495,-1.4217948688625,3.9429,3.2078,55.33504104614258
3377836,CC(C)c1ccc(NC(=O)N2CC=C(c3ccc(F)cc3)CC2)cc1,-5.5513946640505,-0.7611024398485,4.3841,3.1098,55.210411071777344
43483315,CNC(c1cccc(OC)c1)c1ccc2c(c1)OCCO2,-5.592755969326499,0.028571954302499997,4.8769,3.6002,58.03233337402344
134866739,C/C=C1\CN(S(=O)(=O)c2ccc(C)cc2)C\C1=C(/C)c1ccccc1,-5.5233669374489995,-0.8824652171715001,4.1862,2.5467,56.20806884765625
17531652,COc1cccc(CN(C)C(=O)CSc2nnc(-c3cccs3)n2-c2ccccc2)c1OC,-5.492345958492,-1.1921307790405,3.7302,2.7881,56.6038818359375
5290241,CCOC(=O)C1=C(c2ccccc2)N=c2s/c(=C/c3cc(OC)ccc3OC)c(=O)n2C1c1c(OC)ccc2ccccc12,-5.265403007175,-1.963573545208,2.7844,2.0437,57.35391998291016
100599011,Cc1cc([C@@H]2[C@@H](c3ccccn3)NC(=S)N2c2ccc(OC(C)C)cc2)c(C)n1-c1ccc(F)cc1,-4.901858902907,-0.875662370909,3.5055,3.4831,58.62397766113281
24461090,CCOc1ccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccc4c(c3)CCN4C(C)=O)c2)cc1,-5.3832283044415,-1.4982588608529999,3.4942,2.9097,56.479774475097656
124928176,CCCCN1C(=O)C/C(=N/Nc2ccccc2)c2ccccc21,-5.209891781673,-1.3047859131475,3.4472,2.4557,56.36574172973633
100457027,C[C@@H](C(=O)NC1CCCCC1)N(Cc1ccccc1)C(=O)CCc1ccc(C(C)(C)C)cc1,-6.2235158747855,-0.21741896654950002,5.314,3.7074,58.05355072021485
4874142,CC1(C)Cc2c(sc3c2c(=O)n(CCc2ccccc2)c(=O)n3CCc2ccccc2)CO1,-5.843917053338,-0.9521263628995,4.3717,3.0939,59.89097595214844
15134030,O=c1c2ccccc2[nH]c(=S)n1-c1ccc(-n2c(=S)[nH]c3ccccc3c2=O)cc1,-5.7032341926295,-1.591321797724,3.4136,3.0708,58.36671447753906
136141045,CCOc1cc(/C=C/c2ccc3cc(C)ccc3n2)ccc1O,-5.129890309626,-1.5083270733215,3.3949,2.1299,58.60809326171875
22450822,CCOS(=O)(=O)Oc1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,-4.8558716621725,-1.232131515064,3.431,2.1426,58.15898895263672
139084638,CCN(CC)C1=Nc2ccccc2Sc2ccccc21,-5.3451323653715,-0.9613782338165,3.6712,2.9435,56.45273971557617
50765020,COC(=O)c1nc2ccccc2nc1NCc1ccc(F)cc1,-5.73615996854,-2.1875232441695003,3.0118,2.2737,56.210933685302734
156796350,CCc1ccc(-c2c[nH]c3ccccc23)c(F)c1,-5.218599424889001,-0.4030006125905,4.3826,3.0488,56.86013412475586
70105018,Cc1ccc2c(c1C)c(C(=O)NC1CC3CCC(C1)N3C)c(-c1ccccc1)n2C,-5.1497546207125,-0.809810819088,3.8577,2.8406,55.23078918457031
10890707,Cc1[nH][nH]c(=O)c2cc3c(nc4ccccc43)c(C)c12,-4.640357492576499,-2.433786278872,1.7506,1.0008,57.95310974121094
17354948,CC1(C)N=C2N(C#N)CN(Cc3ccccc3)CN2C2CCN(Cc3ccccc3)C=C21,-5.0975087614165,-0.36136719346400004,4.1068,3.4393,55.16905212402344
137057334,CCNCc1cncc(-c2cc3c(-c4nc5c(-c6cccnc6)cccc5[nH]4)n[nH]c3cn2)c1,-5.673029555224,-1.7371748215919998,3.5067,2.5558,59.41292572021485
43976031,CCOc1ccc(-c2nnc(NC(=O)Cc3ccc(OC)c(C)c3)o2)cc1OCC,-5.550578322499,-1.085190035794,4.1331,2.8194,55.96353912353516
110323889,COc1ccc(S(=O)(=O)NCCc2nc(-c3ccc(C)cc3)no2)cc1,-6.4597106970195,-1.2650572909745,4.8371,3.148,56.00714492797852
25255201,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1cc2ccccc2s1,-4.753828968235,-1.755134335725,2.5757,2.3373,55.7274169921875
22753764,CN(C)c1ccc(C2(c3ccc(N(C)C)cc3)SC(NC(=O)C(C)(C)C)=Nc3cc(N(CCC#N)CCC#N)ccc32)cc1,-4.9696152516815,-1.0177058008700002,3.3875,2.8911,55.88559341430664
